"","Wh.Gail","AA.CARE","HU.Gail","NA.Gail","HF.Gail","Asian.AABCS"
"Age<50",0.5788413,0.7294988,0.749294788397,0.5788413,0.428864989813,0.47519806426735
"Age>=50",0.5788413,0.74397137,0.778215491668,0.5788413,0.450352338746,0.50316401683903
