"","Wh.1983_87","AA.1994_98","HU.1995_04","NA.1983_87","HF.1995_04","Ch.1998_02","Ja.1998_02","Fi.1998_02","Hw.1998_02","oP.1998_02","oA.1998_02","Wh_Avg.1992_96"
"[20,25)",0.000493,0.00074354,0.0003561,0.000493,0.0003129,0.000210649076,0.000173593803,0.000229120979,0.000563507269,0.000465500812,0.000212632332,0.0004412
"[25,30)",0.000531,0.00101698,0.0004038,0.000531,0.0002908,0.000192644865,0.000295805882,0.000262988494,0.000369640217,0.00060046692,0.000242170741,0.0005254
"[30,35)",0.000625,0.00145937,0.0005281,0.000625,0.0003515,0.000244435215,0.000228322534,0.00031484409,0.001019912579,0.000851057138,0.000301552711,0.0006746
"[35,40)",0.000825,0.00215933,0.0008875,0.000825,0.0004943,0.000317895949,0.000363242389,0.000394471908,0.001234013911,0.001478265376,0.000369053354,0.0009092
"[40,45)",0.001307,0.00315077,0.0013987,0.001307,0.0007807,0.000473261994,0.000590633044,0.00064762261,0.002098344078,0.001931486788,0.000543002943,0.0012534
"[45,50)",0.002181,0.00448779,0.0020769,0.002181,0.001284,0.00080027138,0.001086079485,0.001170202327,0.002982934175,0.003866623959,0.000893862331,0.001957
"[50,55)",0.003655,0.00632281,0.0030912,0.003655,0.0020325,0.001217480226,0.001859999966,0.001809380379,0.005402445702,0.004924932309,0.001515172239,0.0032984
"[55,60)",0.005852,0.00963037,0.004696,0.005852,0.0034533,0.002099836508,0.003216600974,0.002614170568,0.009591474245,0.008177071806,0.002574669551,0.0054622
"[60,65)",0.009439,0.01471818,0.007605,0.009439,0.0058674,0.003436889186,0.004719402141,0.004483330681,0.016315472607,0.00863820289,0.004324370426,0.0091035
"[65,70)",0.015028,0.02116304,0.0120555,0.015028,0.0096888,0.006097405623,0.008535331402,0.007393665092,0.020152229069,0.018974658371,0.007419621918,0.0141854
"[70,75)",0.023839,0.03266035,0.0193805,0.023839,0.0154429,0.010664526765,0.012433511681,0.012233059675,0.02735483871,0.029257567105,0.01325176513,0.0225935
"[75,80)",0.038832,0.04564087,0.0288386,0.038832,0.0254675,0.020148678452,0.020230197885,0.021127058106,0.050446998723,0.038408980974,0.02229142749,0.0361146
"[80,85)",0.066828,0.06835185,0.0429634,0.066828,0.0448037,0.03799079659,0.037725498348,0.037936954809,0.072262026612,0.052869579345,0.041746550635,0.0613626
"[85,90)",0.144908,0.13271262,0.0740349,0.144908,0.1125678,0.098333900733,0.106149118663,0.085138518334,0.145844504021,0.074745721133,0.087485802065,0.1420663
